room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
15498722,1429,8139434,Private room,,Boston,,Allston,5,5,2,1,,69,,n Secluded & Serene Allston/Brighton,32:18.7,42.350617,-71.140268,0101000020E6100000392BA226FAC851C0F8359204E12C4540
1582688,1429,8139434,Private room,,Boston,,Allston,82,4.5,2,1,,67,,f **STUNNING ZEN AND QUIET ROOM**,32:18.7,42.351844,-71.135986,0101000020E6100000B0AD9FFEB3C851C09CA56439092D4540
1839549,1429,8139434,Private room,,Boston,,Allston,66,4.5,2,1,,77,,a *SUNNY BRIGHT & COZY ROOM*,30:18.5,42.352311,-71.136552,0101000020E6100000048D9944BDC851C0B282DF86182D4540
7868209,1429,31545543,Private room,,Boston,,Allston,2,0,2,1,,76,,Beautiful Sunny Bedroom in Boston,30:16.5,42.350265,-71.127033,0101000020E6100000D120054F21C851C07BF7C77BD52C4540
18879990,1429,6185823,Private room,,Boston,,Fenway,5,4,3,1,,80,,Exposed Brick Private Room in Back Bay,30:16.5,42.34665,-71.091269,0101000020E6100000DF88EE59D7C551C04694F6065F2C4540
13028899,1429,43544288,Private room,,Boston,,West Roxbury,8,4,2,1,,65,,"New King Bed, Free Parking&WiFi",37:41.9,42.274086,-71.168792,0101000020E6100000E4F4F57CCDCA51C04E25034015234540
1494726,1429,7506913,Private room,,Boston,,Roslindale,13,4.5,1,1,,75,,Cozy in Rozzie!,37:33.4,42.275716,-71.130139,0101000020E6100000C93B873254C851C0F27D71A94A234540
1433483,1429,7523199,Private room,,Boston,,Hyde Park,14,5,3,1,,80,,3rd Floor Suite with Wood Fireplace,37:31.8,42.244563,-71.116479,0101000020E6100000EEEA556474C751C0E46723D74D1F4540
6449928,1429,33672675,Private room,,Boston,,Mattapan,12,5,2,1,,69,,Wellington Townhouse (bedroom 2),37:28.3,42.2794,-71.095089,0101000020E6100000664D2CF015C651C04F401361C3234540
177129,1429,847253,Private room,,Boston,,Dorchester,138,4.5,3,1,,79,,Comfort in Historic Melville Park 1,37:26.5,42.293428,-71.067731,0101000020E6100000397B67B455C451C087DD770C8F254540
14778561,1429,44581223,Private room,,Boston,,Hyde Park,13,4.5,1,1,,65,,"Warm spacious, clean room.  You will Restmore",37:26.5,42.25261,-71.116157,0101000020E6100000E50CC51D6FC751C03F52448655204540
13015767,1429,43544288,Private room,,Boston,,West Roxbury,39,4.5,3,1,,65,,Private Room with Queen and Twin Beds,37:24.8,42.272457,-71.168631,0101000020E6100000E085ADD9CACA51C07C48F8DEDF224540
13261681,1429,43544288,Private room,,Boston,,West Roxbury,19,4.5,4,1,,65,,Private Room w/ Two Queen Comfortable Beds,37:23.1,42.274261,-71.167044,0101000020E61000008E3F51D9B0CA51C0BDC804FC1A234540
13827734,1429,81440709,Private room,,Boston,,Hyde Park,3,5,2,1,,75,,Cozy Private Room!!,37:22.2,42.262887,-71.120726,0101000020E6100000B9718BF9B9C751C093C5FD47A6214540
17669073,1429,15761642,Private room,,Boston,,Roslindale,2,0,2,1,,75,,Private spacious bedroom in a 2 bedroom condo.,37:22.2,42.273802,-71.131459,0101000020E6100000F47002D369C851C02ACAA5F10B234540
9340410,1429,9241244,Private room,,Boston,,West Roxbury,47,5,4,2,,79,,Two rooms in Arts & Crafts Bungalow,37:21.3,42.277008,-71.145331,0101000020E61000001406651A4DC951C07D5D86FF74234540
1161210,1429,3887707,Private room,,Boston,,West Roxbury,189,4.5,4,1,,60,,Cozy rooms with parking and Wi-Fi,37:19.6,42.271761,-71.167592,0101000020E61000008FC4CBD3B9CA51C004AA7F10C9224540
8490356,1429,44581223,Private room,,Boston,,Hyde Park,21,4.5,1,1,,70,,Gorgeous and bright Victorian home,37:18.1,42.251618,-71.114645,0101000020E61000009869FB5756C751C0DF8AC40435204540
3755609,1429,19223882,Private room,,Boston,,Roslindale,27,5,1,1,,64,,Lovely & Gracious Victorian room,37:18.1,42.275637,-71.1248,0101000020E61000009CA223B9FCC751C0A648BE1248234540
15193510,1429,90419082,Private room,,Boston,,Mattapan,5,5,2,1,,69,,Relaxing space in Boston,37:16.0,42.276057,-71.0692,0101000020E61000008638D6C56DC451C07B6AF5D555234540
15154194,1429,90419082,Private room,,Boston,,Mattapan,7,5,2,1,,69,,"Nice, relaxing space in Boston",37:14.4,42.277171,-71.070613,0101000020E6100000096B63EC84C451C02733DE567A234540
4828640,1429,8625838,Private room,,Boston,,Mattapan,72,4.5,2,1,,72,,Pvt Room in Lower Mills Dorchester,37:14.4,42.272188,-71.070558,0101000020E6100000289EB30584C451C08C2E6F0ED7224540
17666702,1429,1584950,Private room,,Boston,,Jamaica Plain,0,0,2,1,,76,,Comfortable stay in charming condo; great location,37:07.1,42.309055,-71.117752,0101000020E61000007842AF3F89C751C028D53E1D8F274540
6706463,1429,34308622,Private room,,Boston,,West Roxbury,1,0,1,1,,65,,Cozy bedroom,37:07.1,42.290673,-71.151141,0101000020E61000006C054D4BACC951C0446ADAC534254540
886668,1429,4426354,Private room,,Boston,,Back Bay,25,4,2,1,,69,,Visit Back Bay,30:15.5,42.350295,-71.087438,0101000020E61000005F9B8D9598C551C0E6797077D62C4540
15037015,1429,24875377,Private room,,Boston,,Fenway,3,5,2,1,,80,,"Fenway appartment, clean & cozy",30:15.5,42.344962,-71.096733,0101000020E61000006ADC9BDF30C651C06F2EFEB6272C4540
8789821,1429,26956083,Private room,,Boston,,Brighton,14,5,2,1,,74,,Renovated -- Single Room,30:15.4,42.360885,-71.141624,0101000020E610000009151C5E10C951C0F94ECC7A312E4540
3898015,1429,8139434,Private room,,Boston,,Allston,46,5,2,1,,75,,g Private entrance room Boston,30:11.9,42.349988,-71.144202,0101000020E61000002481069B3AC951C009FF2268CC2C4540
3060038,1429,15575274,Private room,,Boston,,Brighton,35,4.5,1,1,,71,,Stunning room in hipster town,30:09.7,42.347369,-71.138246,0101000020E61000006133C005D9C851C076525F96762C4540
8388481,1429,26956083,Private room,,Boston,,Brighton,24,5,2,1,,67,,The Silver Sage Room (Bedroom F),30:06.0,42.358573,-71.140601,0101000020E61000003C32569BFFC851C0431D56B8E52D4540
4340110,1429,22531540,Private room,,Boston,,Allston,96,5,2,1,,79,,Bedroom next to Boston University,30:05.1,42.352946,-71.121873,0101000020E6100000FC5069C4CCC751C084A0A3552D2D4540
12489909,1429,12798455,Private room,,Boston,,Allston,0,0,2,3,,70,,Nice room in safe area in Boston,30:00.1,42.349113,-71.134934,0101000020E6100000954737C2A2C851C0E2CD1ABCAF2C4540
18358461,1429,56194685,Private room,,Boston,,Roxbury,2,0,2,3,,80,,Large Private Room in a 3BR Apt,29:54.7,42.336973,-71.082969,0101000020E61000003D65355D4FC551C0485167EE212B4540
5241043,1429,24461269,Private room,,Boston,,Beacon Hill,35,4.5,3,1,,80,,Beacon Hill room in Boston proper,29:54.7,42.360358,-71.068471,0101000020E61000005D6E30D461C451C00D6D0036202E4540
13090471,1429,33323873,Private room,,Boston,,Back Bay,1,0,1,1,,80,,Wonderful room in back bay,29:53.6,42.345123,-71.082674,0101000020E6100000B08EE3874AC551C0780C8FFD2C2C4540
8152796,1429,40314351,Private room,,Boston,,Fenway,0,0,1,1,,80,,A very clean place nearby subway,29:53.6,42.343241,-71.086783,0101000020E610000052B648DA8DC551C0BBD23252EF2B4540
10391455,1429,10115868,Private room,,Boston,,South End,24,5,2,1,,75,,The Heart of Boston - Semi-Private Room,29:53.6,42.341059,-71.080739,0101000020E6100000C020E9D32AC551C0D48041D2A72B4540
6355733,1429,29025144,Private room,,Boston,,South End,4,4.5,2,1,,80,,Private Rm+Bathroom in Apt.,29:53.6,42.336282,-71.069039,0101000020E610000082C98D226BC451C0E21DE0490B2B4540
15773939,1429,11631886,Private room,,Boston,,Roxbury,4,5,2,1,,67,,Brownstone full bed,29:53.6,42.336529,-71.080294,0101000020E61000002904728923C551C0EA93DC61132B4540
19431899,1429,72588088,Private room,,Boston,,Chinatown,0,0,1,1,,65,,Beautiful sunny 1bd available in Downtown Boston,29:51.8,42.346873,-71.06299,0101000020E6100000677E350708C451C0C66E9F55662C4540
18499372,1429,15611080,Private room,,Boston,,Fenway,3,4.5,1,1,,80,,Perfect Location in Back Bay,29:51.8,42.345584,-71.089582,0101000020E6100000DB1324B6BBC551C0AC02B5183C2C4540
10233979,1429,118037,Private room,,Boston,,Downtown,11,5,2,1,,70,,Beautiful Cozy City Bedroom,29:51.8,42.3545,-71.062639,0101000020E6100000111D024702C451C04C378941602D4540
6927063,1429,13366252,Private room,,Boston,,Fenway,7,4.5,2,1,,69,,Big Beautiful Room Near Fenway Park,29:51.8,42.34401,-71.088089,0101000020E6100000CA880B40A3C551C09CBF0985082C4540
9361705,1429,37153933,Private room,,Boston,,South End,20,4,1,1,,77,,1 BR Great Location in South End!,29:51.8,42.341952,-71.077408,0101000020E6100000B91CAF40F4C451C0A1664815C52B4540
886378,1429,4426354,Private room,,Boston,,Back Bay,7,4,2,1,,75,,Back Bay room,29:51.8,42.351404,-71.088669,0101000020E6100000D1CABDC0ACC551C080D767CEFA2C4540
6780300,1429,212445,Private room,,Boston,,Roxbury,23,4.5,2,1,,69,,Large Sunny room in Boston,29:49.9,42.335882,-71.083103,0101000020E6100000C4CC3E8F51C551C054A86E2EFE2A4540
3585343,1429,10332798,Private room,,Boston,,South Boston,65,4.5,2,1,,70,,Private room,29:48.2,42.340395,-71.053735,0101000020E6100000A3E9EC6470C351C0685C3810922B4540
14386825,1429,67180440,Private room,,Boston,,Back Bay,5,5,1,1,,76,,Living Room Space in Back Bay,29:48.2,42.350515,-71.085188,0101000020E6100000BF805EB873C551C0F4E0EEACDD2C4540
18776002,1429,118664168,Private room,,Boston,,Back Bay,0,0,1,1,,80,,Perfectly located apartment in Back Bay.,29:48.2,42.350034,-71.088768,0101000020E61000009B3BFA5FAEC551C0793E03EACD2C4540
7482338,1429,37882842,Private room,,Boston,,East Boston,56,4.5,2,1,,79,,Room b/t Airport & Downtown - 15 min to Downtown,29:45.9,42.376154,-71.038197,0101000020E61000008A73D4D171C251C03A2174D025304540
16098634,1429,87858249,Private room,,Boston,,East Boston,10,4.5,2,1,,80,,Private Room Between Airport and Downtown,29:41.6,42.371044,-71.041814,0101000020E6100000F5A0A014ADC251C042B0AA5E7E2F4540
19501578,1429,74619356,Private room,,Boston,,Charlestown,0,0,1,1,,80,,Bedroom in a 2 Bedroom Apartment,29:16.2,42.382223,-71.079161,0101000020E610000098874CF910C551C0B763EAAEEC304540
19317364,1429,23875089,Private room,,Boston,,Charlestown,0,0,2,1,,80,,Secret Warehouse Apartment,29:14.0,42.387013,-71.076703,0101000020E61000005320B3B3E8C451C03D1059A489314540
16869658,1429,93938503,Private room,,Boston,,Back Bay,5,4,2,1,,79,,Heart of Boston - Self Check In any time d :),29:04.6,42.349755,-71.07799,0101000020E610000090DAC4C9FDC451C0664E97C5C42C4540
13063952,1429,21745230,Private room,,Boston,,Charlestown,4,5,2,1,,65,,3 min to T stop-Boston/Somervillle,29:03.3,42.382705,-71.078772,0101000020E6100000CBF5B6990AC551C00282397AFC304540
16188028,1429,24953830,Private room,,Boston,,East Boston,4,5,2,1,,75,,A Room for You in Boston,29:03.3,42.369582,-71.03434,0101000020E6100000753C66A032C251C05B9885764E2F4540
10328539,1429,53149879,Private room,,Boston,,Mission Hill,79,5,3,1,,80,,Beautiful private Bedroom/NearT/DiscRate/FlexCheck,28:44.0,42.329184,-71.100619,0101000020E6100000CC96AC8A70C651C0E82E89B3222A4540
11921486,1429,63617461,Private room,,Boston,,Brighton,9,5,2,1,,80,,Charming bedroom in cozy apartment,28:42.3,42.349577,-71.160871,0101000020E6100000FDF7E0B54BCA51C086376BF0BE2C4540
14251839,1429,26956083,Private room,,Boston,,Allston,19,4.5,2,1,,68,,The Relaxation Room near Harvard Square,28:39.9,42.361413,-71.12587,0101000020E61000000B630B410EC851C0B4ACFBC7422E4540
15498000,1429,8139434,Private room,,Boston,,Allston,2,0,2,1,,79,,l Sunny & Spacious Allston Brighton,32:04.2,42.350355,-71.132608,0101000020E610000008CC43A67CC851C0BB7EC16ED82C4540
3318814,1429,16755950,Private room,,Boston,,Brighton,0,0,2,1,,75,,Private Room in a Boston Smart House w/ Backyard!,32:03.2,42.360047,-71.146688,0101000020E6100000CDAD105663C951C0EF022505162E4540
13528233,1429,35924295,Private room,,Boston,,Brighton,0,0,1,1,,70,,"Spacious, clean, modern and furnished bedroom",32:02.1,42.344733,-71.139822,0101000020E6100000B950F9D7F2C851C00D6D0036202C4540
10021398,1429,20327499,Private room,,Boston,,Allston,36,4.5,2,1,,70,,"Charming room in Boston, MA",32:02.1,42.351735,-71.137625,0101000020E61000002B8716D9CEC851C0E5ED08A7052D4540
18377950,1429,111108871,Private room,,Boston,,Brighton,3,5,2,1,,79,,Brighton,32:02.1,42.346014,-71.137713,0101000020E6100000FBCE2F4AD0C851C0A4FACE2F4A2C4540
17717965,1429,116764194,Private room,,Boston,,Allston,4,3.5,2,1,,70,,Luxury Apartment on Comm Ave,32:02.1,42.353386,-71.124042,0101000020E61000002655DB4DF0C751C0A06EA0C03B2D4540
15041925,1429,9795590,Private room,,Boston,,Brighton,4,4.5,2,1,,75,,"Large Private bedroom w ensuite,Walk to Charles!",32:00.1,42.353649,-71.146812,0101000020E610000043AA285E65C951C0ADA1D45E442D4540
14754108,1429,7613147,Private room,,Boston,,Brighton,4,5,2,1,,75,,Private room with roof deck!,32:00.0,42.353536,-71.144146,0101000020E61000005AF624B039C951C0B5FAEAAA402D4540
6373729,1429,32041326,Private room,,Boston,,Allston,1,0,4,1,,75,,"American Vintage room, 2+ peeps ok",31:57.9,42.352014,-71.140472,0101000020E61000003D80457EFDC851C0F8DD74CB0E2D4540
17264532,1429,55475665,Private room,,Boston,,Allston,23,4.5,2,1,,63,,Scenic 18th floor Apt & Boston view,31:57.9,42.352486,-71.122087,0101000020E61000001211FE45D0C751C02026E1421E2D4540
15434352,1429,52431895,Private room,,Boston,,Brighton,10,4.5,4,1,,62,,Spacious comfortable private room,31:57.9,42.344676,-71.143587,0101000020E61000005E48878730C951C0A9DBD9571E2C4540
9824155,1429,50599963,Private room,,Boston,,Mission Hill,33,4.5,2,1,,79,,"Cozy 1 Bed, Longwood Medical, Steps frm Transit!",31:57.9,42.330002,-71.112198,0101000020E61000004E2B85402EC751C0ABCE6A813D2A4540
19506279,1429,10623565,Private room,,Boston,,Mission Hill,0,0,2,1,,70,,Private Bedroom nearby Longwood Medical area,31:56.9,42.330772,-71.109417,0101000020E6100000172829B000C751C05D37A5BC562A4540
1937433,1429,10024266,Private room,,Boston,,Brighton,10,5,2,1,,63,,"Clean Getaway-near BU, BC, Harvard.",31:55.9,42.347994,-71.142588,0101000020E610000055336B2920C951C0249A40118B2C4540
15902263,1429,96317029,Private room,,Boston,,Allston,14,5,4,1,,70,,Sunny & Clean Private Room 2Beds/Private Bathroom,31:54.2,42.352055,-71.139602,0101000020E6100000321D3A3DEFC851C057B26323102D4540
17006819,1429,113998976,Private room,,Boston,,Brighton,12,5,2,1,,74,,"Cozy spacious bedroom and bath, women, No smokers",31:51.6,42.349817,-71.149734,0101000020E61000005A46EA3D95C951C0DC4AAFCDC62C4540
19139196,1429,70345893,Private room,,Boston,,Back Bay,0,0,1,1,,67,,"Incredible Location, Newly Renovated. Back Bay.",31:49.3,42.349242,-71.084979,0101000020E61000003276C24B70C551C0DF313CF6B32C4540
18040365,1429,54298718,Private room,,Boston,,Fenway,0,0,2,1,,69,,NEU/Berklee Â≠¶Â∫Êø®FenwayÅ)È¢•‰&ÇË¥πÂ®Â(‰∏•Â∑Â£´),31:49.3,42.342063,-71.095784,0101000020E6100000B9DE365321C651C0F9156BB8C82B4540
6611126,1429,34594389,Private room,,Boston,,Mission Hill,0,0,1,1,,65,,Mission Hill Private Bedroom,31:49.3,42.331867,-71.109843,0101000020E6100000732CEFAA07C751C092CF2B9E7A2A4540
19750797,1429,9200003,Private room,,Boston,,Fenway,0,0,2,1,,70,,Fenway/Downtown Boston apartment,31:45.9,42.346886,-71.093546,0101000020E6100000FCAA5CA8FCC551C05AB8ACC2662C4540
7225376,1429,37826100,Private room,,Boston,,Mission Hill,5,3,2,1,,75,,Northeastern University Apartment,31:45.9,42.331554,-71.096288,0101000020E6100000D3BF249529C651C0D26D895C702A4540
5904992,1429,25327613,Private room,,Boston,,Mission Hill,5,4.5,2,1,,79,,Single bedroom in brand new house,31:45.9,42.330048,-71.098527,0101000020E610000079B130444EC651C01B0E4B033F2A4540
1171553,1429,2871556,Private room,,Boston,,Roxbury,18,4.5,2,1,,75,,Close to South End and Mass Ave II,31:43.0,42.330122,-71.069928,0101000020E6100000C8444AB379C451C056D80C70412A4540
16323903,1429,22616229,Private room,,Boston,,Mission Hill,19,5,1,1,,69,,Lia's Zen Place (Private Room)-Longwood Area,31:42.2,42.33223,-71.10874,0101000020E610000017F19D98F5C651C003603C83862A4540
