"","room_id","host_id","room_type","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude"
"26891",6317446,9410008,"Entire home/apt","South Boston",82,5,4,2,200,42.335857,"-71.045895"
"26892",18858706,16284736,"Entire home/apt","East Boston",17,5,5,2,181,42.37398,"-71.033056"
"26893",19137129,9230009,"Entire home/apt","Brighton",0,0,5,2,200,42.343517,"-71.167741"
"26894",17618116,22541573,"Entire home/apt","Fenway",0,0,3,1,199,42.345187,"-71.087941"
"26895",6983246,35990162,"Entire home/apt","Fenway",41,4.5,2,1,200,42.344146,"-71.087952"
"26896",14388343,19197342,"Entire home/apt","Beacon Hill",15,5,3,1,200,42.360201,"-71.066578"
"26897",4032756,20907980,"Entire home/apt","Beacon Hill",30,5,2,1,188,42.36057,"-71.068158"
"26898",6677640,34950334,"Entire home/apt","Beacon Hill",27,5,3,1,200,42.36052,"-71.064014"
"26899",19135407,51673899,"Entire home/apt","Back Bay",0,0,2,0,199,42.348523,"-71.084635"
"26900",15284641,40946436,"Entire home/apt","Bay Village",33,5,7,3,200,42.348989,"-71.066661"
"26901",14887491,12195082,"Entire home/apt","Beacon Hill",5,4.5,2,1,198,42.359967,"-71.064885"
"26902",257588,1355344,"Entire home/apt","South Boston",174,5,6,2,200,42.330664,"-71.039842"
"26903",17994861,55715847,"Entire home/apt","South End",1,0,4,2,200,42.340433,"-71.079057"
"26904",4287366,22257404,"Entire home/apt","South Boston",7,4,3,2,200,42.331476,"-71.048888"
"26905",8325477,43888695,"Entire home/apt","Downtown",14,5,2,1,200,42.359945,"-71.06206"
"26906",2683284,1015632,"Entire home/apt","South End",157,4.5,4,1,185,42.338075,"-71.075329"
"26907",7454907,24293931,"Entire home/apt","North End",2,0,4,2,185,42.365151,"-71.055711"
"26908",12366845,66812129,"Entire home/apt","Dorchester",1,0,6,3,200,42.320431,"-71.065976"
"26909",4759640,24559114,"Entire home/apt","Downtown",1,0,2,0,200,42.364026,"-71.059493"
"26910",15864923,102834782,"Entire home/apt","Roslindale",7,5,6,3,200,42.284245,"-71.119606"
"26911",19545605,82529160,"Entire home/apt","Back Bay",0,0,2,1,185,42.34968,"-71.086269"
"26912",10494118,54097330,"Entire home/apt","Jamaica Plain",0,0,6,2,200,42.307509,"-71.112725"
"26913",17540316,118977427,"Entire home/apt","Brighton",9,5,8,3,185,42.350022,"-71.150585"
"26914",15582004,100203033,"Entire home/apt","Brighton",0,0,4,1,200,42.354437,"-71.148874"
"26915",6425405,33386421,"Entire home/apt","Fenway",3,4,4,0,195,42.341911,"-71.102304"
"26916",17603937,22541573,"Entire home/apt","Fenway",0,0,3,1,199,42.343516,"-71.087614"
"26917",19566032,17747458,"Entire home/apt","Downtown",0,0,3,1,200,42.365207,"-71.060496"
"26918",12432535,5934573,"Entire home/apt","Charlestown",18,4.5,4,1,200,42.383958,"-71.067711"
"26919",5781926,29573894,"Entire home/apt","South Boston",0,0,2,0,200,42.332949,"-71.046508"
"26920",8595650,14535919,"Entire home/apt","South End",64,5,4,1,200,42.343642,"-71.070969"
"26921",14995433,72392354,"Entire home/apt","Chinatown",6,5,3,1,199,42.349398,"-71.060623"
"26922",15950283,605252,"Entire home/apt","Roxbury",2,0,9,3,189,42.327654,"-71.076964"
"26923",2544922,3482713,"Entire home/apt","Back Bay",0,0,2,0,190,42.349982,"-71.081533"
"26924",6951829,30283594,"Entire home/apt","Fenway",9,5,5,2,188,42.345062,"-71.101725"
"26925",14809312,1597504,"Entire home/apt","Brighton",5,5,4,1,185,42.34196,"-71.153972"
"26926",7093109,37177446,"Entire home/apt","Roslindale",12,5,6,2,190,42.276969,"-71.117756"
"26927",8391298,23822417,"Entire home/apt","Fenway",17,5,4,1,200,42.342692,"-71.099875"
"26928",18755420,29383890,"Entire home/apt","East Boston",15,4.5,5,2,200,42.365769,"-71.037208"
"26929",6627469,4718853,"Entire home/apt","Dorchester",11,4.5,4,2,200,42.319109,"-71.061683"
"26930",10119075,30283594,"Entire home/apt","West End",0,0,5,2,189,42.364819,"-71.069077"
"26931",16148861,105384509,"Entire home/apt","Charlestown",34,5,4,2,200,42.375881,"-71.060637"
"26932",5826159,10428948,"Entire home/apt","South End",3,5,2,1,195,42.341232,"-71.077251"
"26933",15544244,12243051,"Entire home/apt","Downtown",8,4.5,4,2,199,42.358083,"-71.053754"
"26934",369940,1683708,"Entire home/apt","North End",23,5,4,2,199,42.36519,"-71.055361"
"26935",8006992,2265368,"Entire home/apt","South End",13,5,3,1,200,42.338077,"-71.075093"
"26936",18672286,129776632,"Entire home/apt","South Boston Waterfront",3,5,2,1,200,42.350168,"-71.047476"
"26937",19654960,138358645,"Entire home/apt","Back Bay",0,0,2,1,200,42.349942,"-71.087213"
"26938",11885148,409027,"Entire home/apt","Back Bay",10,4.5,2,1,189,42.354487,"-71.075374"
"26939",19532898,3707146,"Entire home/apt","Roxbury",0,0,6,4,200,42.322425,"-71.090577"
"26940",12154934,65268598,"Entire home/apt","Back Bay",58,4,3,1,189,42.348416,"-71.085342"
"26941",14744525,12243051,"Entire home/apt","Downtown",20,5,4,2,199,42.358098,"-71.054908"
"26942",5581574,28766987,"Entire home/apt","Back Bay",12,4.5,4,2,189,42.346377,"-71.080414"
"26943",6881541,13124709,"Entire home/apt","Dorchester",45,4.5,7,3,199,42.294731,"-71.055259"
"26944",6426364,9653086,"Entire home/apt","South End",36,5,4,1,200,42.341752,"-71.075334"
"26945",10175033,36670279,"Entire home/apt","North End",48,5,5,2,196,42.366669,"-71.05643"
"26946",8814105,4962900,"Entire home/apt","Downtown",27,5,7,3,181,42.36205,"-71.063404"
"26947",17565296,38474352,"Entire home/apt","Jamaica Plain",1,0,6,3,200,42.294747,"-71.11581"
"26948",15193464,41962442,"Entire home/apt","Dorchester",24,4.5,5,1,199,42.319988,"-71.04181"
"26949",7620413,38708629,"Entire home/apt","South End",2,0,2,1,200,42.341409,"-71.081731"
"26950",19564583,984499,"Entire home/apt","Dorchester",0,0,4,2,200,42.314972,"-71.052382"
"26951",18934135,2356643,"Entire home/apt","Beacon Hill",1,0,3,0,186,42.357606,"-71.063854"
"26952",13696242,13215690,"Entire home/apt","Beacon Hill",10,5,4,1,192,42.359975,"-71.06635"
"26953",16569320,109154927,"Entire home/apt","South Boston",30,5,6,2,200,42.333378,"-71.043916"
"26954",19329317,4357210,"Entire home/apt","Downtown",0,0,4,1,194,42.353158,"-71.062906"
"26955",13005579,71536024,"Entire home/apt","North End",76,5,4,2,195,42.36524,"-71.052134"
"26956",12269155,66084480,"Entire home/apt","North End",143,5,2,1,200,42.365201,"-71.058235"
"26957",13121821,38119495,"Entire home/apt","Beacon Hill",57,5,4,1,195,42.359979,"-71.064786"
"26958",19672748,17406884,"Entire home/apt","South Boston",0,0,6,1,190,42.338794,"-71.026717"
"26959",18909357,66441942,"Entire home/apt","Back Bay",2,0,3,0,185,42.351618,"-71.08213"
"26960",2429961,3137257,"Entire home/apt","Back Bay",33,4.5,4,1,185,42.35086,"-71.080994"
"26961",17795007,3715192,"Entire home/apt","Roxbury",14,5,4,2,200,42.338963,"-71.082975"
"26962",19052102,814298,"Entire home/apt","Back Bay",0,0,4,1,195,42.349012,"-71.085544"
"26963",2183058,11132080,"Entire home/apt","North End",94,5,4,1,183,42.364293,"-71.054521"
"26964",13190410,60375320,"Entire home/apt","South Boston",45,5,14,5,199,42.33962,"-71.051307"
"26965",4583526,23759488,"Entire home/apt","Jamaica Plain",102,5,9,4,195,42.304549,"-71.115532"
"26966",3302294,1369968,"Entire home/apt","Back Bay",177,4.5,2,1,182,42.352578,"-71.082599"
"26967",19620966,137984549,"Entire home/apt","Dorchester",0,0,3,1,195,42.279159,"-71.060074"
"26968",15267916,91316583,"Entire home/apt","Dorchester",1,0,8,3,189,42.302288,"-71.056832"
"26969",7855702,30283594,"Entire home/apt","West End",0,0,5,2,181,42.365147,"-71.067548"
"26970",14538087,2006852,"Entire home/apt","North End",53,4.5,4,2,199,42.366102,"-71.051921"
"26971",2167993,317841,"Entire home/apt","Charlestown",80,5,2,1,195,42.376385,"-71.051363"
"26972",19737613,116420400,"Entire home/apt","Roxbury",0,0,5,1,199,42.32844,"-71.069479"
"26973",18235467,772313,"Entire home/apt","Fenway",0,0,2,1,199,42.342968,"-71.087578"
"26974",14759485,72882793,"Entire home/apt","Bay Village",36,4.5,4,2,199,42.348509,"-71.06929"
"26975",10671192,44392534,"Entire home/apt","South End",89,5,2,1,190,42.339435,"-71.080058"
"26976",19051657,814298,"Entire home/apt","Back Bay",0,0,4,1,191,42.349071,"-71.084776"
"26977",7475573,22348222,"Entire home/apt","Back Bay",11,4.5,2,0,195,42.35079,"-71.08164"
"26978",19050865,814298,"Entire home/apt","Back Bay",0,0,4,1,191,42.349499,"-71.084864"
"26979",7854872,22348222,"Entire home/apt","Beacon Hill",10,4.5,2,0,182,42.359345,"-71.062917"
"26980",15898784,39455949,"Entire home/apt","Dorchester",42,5,6,2,183,42.285191,"-71.056415"
"26981",16693642,9410008,"Entire home/apt","Beacon Hill",26,5,3,1,195,42.358754,"-71.070234"
"26982",7475379,22348222,"Entire home/apt","Back Bay",19,4.5,2,0,200,42.350822,"-71.082039"
"26983",18209477,31340713,"Entire home/apt","Back Bay",8,4.5,4,2,198,42.35262,"-71.080964"
"26984",19358947,799496,"Entire home/apt","Downtown",0,0,3,1,200,42.353783,"-71.063459"
"26985",15336589,12243051,"Entire home/apt","Roxbury",12,4.5,6,3,199,42.335597,"-71.077678"
"26986",15073826,15789148,"Entire home/apt","Back Bay",34,5,3,0,190,42.352201,"-71.085635"
"26987",6072693,17407425,"Entire home/apt","Fenway",16,5,2,1,199,42.346341,"-71.090051"
"26988",2326445,912631,"Entire home/apt","South End",79,5,2,0,195,42.341696,"-71.068892"
"26989",15899058,28311782,"Entire home/apt","North End",16,4.5,2,1,200,42.36584,"-71.05603"
